roll_no,name,branch,semester
1EEE0242,Student242,ME,2
1ECE0243,Student243,CSE,4
4ECE0244,Student244,CE,2
8IT0245,Student245,EEE,1
4EEE0246,Student246,CSE,7
3IT0247,Student247,ECE,1
5CSE0248,Student248,CE,8
3IT0249,Student249,IT,2
1ME0250,Student250,ECE,3
2CSE0251,Student251,EEE,5
8CE0252,Student252,CSE,2
3CSE0253,Student253,IT,7
4CSE0254,Student254,ECE,3
3CSE0255,Student255,IT,5
7CSE0256,Student256,CE,2
4IT0257,Student257,ME,3
8EEE0258,Student258,ME,8
7EEE0259,Student259,EEE,7
3ECE0260,Student260,ME,5
4EEE0261,Student261,CE,1
3IT0262,Student262,CE,4
6EEE0263,Student263,ME,8
3CSE0264,Student264,ME,3
6CSE0265,Student265,CE,4
8EEE0266,Student266,CE,2
2ECE0267,Student267,IT,5
3CSE0268,Student268,ECE,1
5ME0269,Student269,ECE,6
5CE0270,Student270,EEE,7
5EEE0271,Student271,IT,2
4ME0272,Student272,IT,6
8ME0273,Student273,ECE,2
7IT0274,Student274,ME,4
6CE0275,Student275,EEE,4
4EEE0276,Student276,CE,7
1ME0277,Student277,EEE,3
1ECE0278,Student278,CE,7
4EEE0279,Student279,IT,8
6CE0280,Student280,ECE,8
3ECE0281,Student281,CSE,5
8ME0282,Student282,CE,8
4CE0283,Student283,ME,8
2CSE0284,Student284,CE,7
7ME0285,Student285,IT,4
5IT0286,Student286,ECE,4
4EEE0287,Student287,ME,8
2ECE0288,Student288,IT,7
6CSE0289,Student289,CE,4
6CSE0290,Student290,IT,8
4CSE0291,Student291,EEE,4
5ECE0292,Student292,EEE,4
7ME0293,Student293,IT,1
8EEE0294,Student294,IT,3
4CE0295,Student295,CSE,2
8CE0296,Student296,CE,5
7IT0297,Student297,ECE,6
4ECE0298,Student298,EEE,1
7ECE0299,Student299,IT,7
2IT0300,Student300,IT,2
8EEE0301,Student301,CSE,5
7CE0302,Student302,CSE,2
3ECE0303,Student303,CE,1
1ECE0304,Student304,CE,2
6EEE0305,Student305,ECE,5
1ME0306,Student306,CSE,3
1IT0307,Student307,IT,7
6ECE0308,Student308,CE,1
3CSE0309,Student309,ECE,6
1IT0310,Student310,ME,1
5CSE0311,Student311,CSE,6
6ECE0312,Student312,ECE,8
4ME0313,Student313,IT,3
1EEE0314,Student314,CE,7
2ME0315,Student315,IT,7
2EEE0316,Student316,CE,1
8ME0317,Student317,CE,3
4CE0318,Student318,CE,7
8CE0319,Student319,ME,4
6ME0320,Student320,EEE,7
6CSE0321,Student321,ME,4
2CSE0322,Student322,CE,4
8CSE0323,Student323,ME,5
2ECE0324,Student324,ME,5
8CE0325,Student325,ECE,6
2CSE0326,Student326,EEE,3
8CE0327,Student327,IT,1
7ECE0328,Student328,IT,6
4ECE0329,Student329,EEE,7
4ME0330,Student330,EEE,1
6ECE0331,Student331,CSE,1
6CSE0332,Student332,IT,2
7ECE0333,Student333,CE,6
3ME0334,Student334,IT,8
4IT0335,Student335,EEE,2
8CSE0336,Student336,CSE,5
1EEE0337,Student337,CSE,2
7EEE0338,Student338,ECE,6
6ECE0339,Student339,IT,4
3CSE0340,Student340,ME,6
3EEE0341,Student341,ME,2
5CSE0342,Student342,ECE,8
4IT0343,Student343,IT,6
5ME0344,Student344,ECE,4
3IT0345,Student345,IT,1
8CE0346,Student346,CSE,5
6CSE0347,Student347,CE,1
5EEE0348,Student348,CSE,1
3ME0349,Student349,ECE,5
8ME0350,Student350,ECE,7
7ECE0351,Student351,EEE,6
1IT0352,Student352,ECE,3
6ECE0353,Student353,CSE,7
5IT0354,Student354,ME,5
5EEE0355,Student355,CE,3
4ECE0356,Student356,CSE,3
8CSE0357,Student357,ME,4
1EEE0358,Student358,CSE,4
7ECE0359,Student359,CE,4
1CE0360,Student360,CSE,2
6EEE0361,Student361,IT,4
6CSE0362,Student362,ECE,7
1ME0363,Student363,CE,5
5ECE0364,Student364,CE,6
4CSE0365,Student365,EEE,1
6IT0366,Student366,CSE,3
3ME0367,Student367,CSE,5
6CE0368,Student368,ME,7
6CE0369,Student369,IT,6
5EEE0370,Student370,ME,1
5EEE0371,Student371,CSE,6
3EEE0372,Student372,CSE,7
1ECE0373,Student373,CE,2
3ME0374,Student374,CSE,2
2ME0375,Student375,EEE,3
6EEE0376,Student376,ECE,4
4ME0377,Student377,IT,5
4EEE0378,Student378,ECE,4
4CSE0379,Student379,CE,2
3ECE0380,Student380,ECE,8
7IT0381,Student381,CSE,7
8ECE0382,Student382,ME,5
3EEE0383,Student383,CE,3
8EEE0384,Student384,CSE,3
4IT0385,Student385,ECE,1
1ECE0386,Student386,IT,2
3CE0387,Student387,CE,3
7ECE0388,Student388,CE,2
6CE0389,Student389,EEE,7
5CSE0390,Student390,CE,3
3EEE0391,Student391,ME,7
1ME0392,Student392,IT,6
7ME0393,Student393,ME,2
3IT0394,Student394,CSE,1
3CSE0395,Student395,ME,3
2ME0396,Student396,ME,5
1ECE0397,Student397,ME,8
7ECE0398,Student398,CE,5
8ME0399,Student399,ECE,5
2ME0400,Student400,CE,5
1CSE0401,Student401,IT,8
2CE0402,Student402,CE,5
8CSE0403,Student403,IT,1
1ME0404,Student404,CSE,3
1EEE0405,Student405,EEE,5
3CSE0406,Student406,EEE,7
1CSE0407,Student407,CE,5
2CSE0408,Student408,IT,3
1CSE0409,Student409,CSE,6
6ME0410,Student410,EEE,4
8CSE0411,Student411,ME,6
2CE0412,Student412,CSE,3
8ECE0413,Student413,ECE,4
6IT0414,Student414,ME,7
7ECE0415,Student415,ECE,2
1CE0416,Student416,IT,8
5ECE0417,Student417,ME,3
7EEE0418,Student418,CSE,5
8ME0419,Student419,CE,7
6ECE0420,Student420,CSE,1
4EEE0421,Student421,EEE,5
6CE0422,Student422,ECE,3
3ME0423,Student423,ECE,3
5CE0424,Student424,CE,4
6CE0425,Student425,ME,4
2CSE0426,Student426,IT,7
4EEE0427,Student427,CE,3
5EEE0428,Student428,CSE,8
3CE0429,Student429,ME,1
3CSE0430,Student430,ECE,8
2EEE0431,Student431,ECE,5
2IT0432,Student432,IT,3
2EEE0433,Student433,ME,2
3ECE0434,Student434,EEE,3
8IT0435,Student435,ME,6
1ECE0436,Student436,IT,3
8IT0437,Student437,ME,4
3ECE0438,Student438,ECE,7
3ECE0439,Student439,IT,5
7ECE0440,Student440,EEE,5
4CE0441,Student441,CE,7
6ME0442,Student442,IT,1
7ME0443,Student443,ECE,2
8ECE0444,Student444,CE,4
5ME0445,Student445,CSE,2
6ME0446,Student446,EEE,8
4CE0447,Student447,CE,5
2IT0448,Student448,CSE,6
1ECE0449,Student449,CE,4
3ECE0450,Student450,CE,5
7IT0451,Student451,CE,2
2ECE0452,Student452,CSE,2
6ME0453,Student453,CE,4
6ME0454,Student454,ECE,3
4IT0455,Student455,CSE,7
5ECE0456,Student456,ME,5
2CE0457,Student457,CE,6
7CSE0458,Student458,ECE,4
4ECE0459,Student459,ME,5
3EEE0460,Student460,EEE,2
6ECE0461,Student461,EEE,6
1EEE0462,Student462,CE,7
8CE0463,Student463,ME,2
1EEE0464,Student464,IT,3
4ECE0465,Student465,IT,3
7CSE0466,Student466,CE,3
4IT0467,Student467,IT,8
3CE0468,Student468,IT,6
4IT0469,Student469,ME,2
7EEE0470,Student470,ME,7
4EEE0471,Student471,ECE,8
8CSE0472,Student472,CE,7
5CSE0473,Student473,CE,4
4CSE0474,Student474,ECE,2
3ECE0475,Student475,CSE,5
7IT0476,Student476,EEE,6
5EEE0477,Student477,EEE,3
3CSE0478,Student478,IT,7
6CE0479,Student479,IT,3
5CE0480,Student480,ECE,2
6CE0481,Student481,CE,3
6EEE0482,Student482,CSE,8
5CSE0483,Student483,IT,8
2CSE0484,Student484,EEE,8
2EEE0485,Student485,CE,8
1CSE0486,Student486,IT,5
2CE0487,Student487,ECE,8
5CSE0488,Student488,CE,4
7ME0489,Student489,IT,4
2CSE0490,Student490,CSE,8
2ME0491,Student491,IT,4
8CE0492,Student492,IT,1
6ECE0493,Student493,CE,6
8EEE0494,Student494,ME,2
3CSE0495,Student495,ME,7
6CSE0496,Student496,ECE,6
4ECE0497,Student497,EEE,1
2CE0498,Student498,EEE,2
8IT0499,Student499,IT,2
4ECE0500,Student500,EEE,5
7ECE0501,Student501,IT,2
2CE0502,Student502,EEE,5
6EEE0503,Student503,EEE,8
4EEE0504,Student504,CE,2
8CE0505,Student505,CE,6
3ME0506,Student506,EEE,8
3EEE0507,Student507,CE,7
2EEE0508,Student508,ECE,4
7CE0509,Student509,IT,6
5CE0510,Student510,EEE,4
7EEE0511,Student511,EEE,7
3IT0512,Student512,ECE,2
6CE0513,Student513,IT,7
8ME0514,Student514,ECE,4
5ME0515,Student515,CSE,7
3CSE0516,Student516,ECE,2
7EEE0517,Student517,ME,4
6IT0518,Student518,IT,6
4IT0519,Student519,EEE,3
2CSE0520,Student520,CSE,1
1CSE0521,Student521,ECE,7
1CSE0522,Student522,CSE,7
7EEE0523,Student523,ECE,3
5EEE0524,Student524,CSE,3
5EEE0525,Student525,IT,3
4ME0526,Student526,EEE,6
5ME0527,Student527,ECE,7
6EEE0528,Student528,EEE,8
5ME0529,Student529,IT,6
1ME0530,Student530,ECE,3
8CSE0531,Student531,ME,6
2ECE0532,Student532,ME,1
5ME0533,Student533,EEE,6
5IT0534,Student534,ECE,8
6ECE0535,Student535,IT,5
2CE0536,Student536,ECE,1
6CSE0537,Student537,IT,1
6EEE0538,Student538,CE,8
8ME0539,Student539,EEE,8
2IT0540,Student540,CE,6
7CE0541,Student541,EEE,2
8EEE0542,Student542,CSE,6
2ME0543,Student543,ECE,2
2ME0544,Student544,ECE,3
1CE0545,Student545,EEE,2
1EEE0546,Student546,ME,8
8EEE0547,Student547,ME,8
5IT0548,Student548,CE,1
2EEE0549,Student549,IT,8
7CE0550,Student550,ECE,6
4IT0551,Student551,ECE,2
7EEE0552,Student552,CE,4
4ECE0553,Student553,ME,1
8CSE0554,Student554,IT,4
3CSE0555,Student555,ECE,2
5IT0556,Student556,ECE,8
7EEE0557,Student557,EEE,3
7ECE0558,Student558,IT,1
7ME0559,Student559,IT,7
1IT0560,Student560,EEE,5
8CE0561,Student561,EEE,7
2ECE0562,Student562,IT,7
6IT0563,Student563,ME,7
5CSE0564,Student564,ME,7
8ECE0565,Student565,ME,6
2ME0566,Student566,EEE,3
1EEE0567,Student567,ME,2
4CSE0568,Student568,CSE,7
5EEE0569,Student569,CE,5
3ECE0570,Student570,IT,2
4ECE0571,Student571,EEE,1
8CE0572,Student572,CE,4
4ECE0573,Student573,ECE,4
6CE0574,Student574,CSE,8
6ECE0575,Student575,IT,5
4ECE0576,Student576,CSE,4
5IT0577,Student577,ME,8
5EEE0578,Student578,EEE,8
4ME0579,Student579,IT,2
3ME0580,Student580,ECE,8
8ME0581,Student581,IT,7
3CSE0582,Student582,CSE,6
2EEE0583,Student583,EEE,2
4ECE0584,Student584,CSE,6
8ME0585,Student585,ME,4
3IT0586,Student586,ECE,7
1EEE0587,Student587,ME,8
2CE0588,Student588,CSE,3
6CE0589,Student589,ME,8
3CE0590,Student590,CE,8
4EEE0591,Student591,IT,7
6CSE0592,Student592,IT,3
1CE0593,Student593,CSE,3
8EEE0594,Student594,EEE,3
8CE0595,Student595,EEE,7
7EEE0596,Student596,ECE,1
7EEE0597,Student597,IT,4
3IT0598,Student598,ECE,2
6CE0599,Student599,EEE,8
8CSE0600,Student600,IT,8
6ME0601,Student601,IT,7
4ME0602,Student602,CSE,3
6ECE0603,Student603,ME,5
1IT0604,Student604,ECE,8
7EEE0605,Student605,ME,5
8ECE0606,Student606,ME,2
7IT0607,Student607,ECE,6
8ECE0608,Student608,ME,3
8CSE0609,Student609,CE,3
1ECE0610,Student610,CE,5
4IT0611,Student611,IT,5
1ME0612,Student612,IT,5
4IT0613,Student613,CSE,8
6EEE0614,Student614,ECE,8
5CE0615,Student615,ME,3
5CSE0616,Student616,IT,6
4ME0617,Student617,CE,5
1EEE0618,Student618,EEE,6
1CSE0619,Student619,IT,7
1CE0620,Student620,ECE,6
8IT0621,Student621,ME,5
1EEE0622,Student622,ECE,3
1ME0623,Student623,CE,3
1ME0624,Student624,ECE,8
7EEE0625,Student625,EEE,5
7CE0626,Student626,ME,1
1ME0627,Student627,ECE,6
8CSE0628,Student628,ECE,4
5IT0629,Student629,CE,4
7EEE0630,Student630,ECE,2
4ME0631,Student631,IT,7
5CSE0632,Student632,EEE,5
5CE0633,Student633,ME,4
5ME0634,Student634,ECE,4
6CE0635,Student635,ME,6
4IT0636,Student636,ECE,7
3IT0637,Student637,CSE,1
3CSE0638,Student638,CE,5
5ME0639,Student639,CSE,7
8EEE0640,Student640,IT,3
1CSE0641,Student641,ME,8
2ECE0642,Student642,CE,3
5ECE0643,Student643,EEE,8
4IT0644,Student644,EEE,1
5CE0645,Student645,ME,2
1IT0646,Student646,IT,3
7IT0647,Student647,CE,8
2ME0648,Student648,IT,1
7EEE0649,Student649,IT,5
7CSE0650,Student650,ECE,7
5ME0651,Student651,IT,4
4CE0652,Student652,IT,7
6ME0653,Student653,ECE,5
7CSE0654,Student654,ECE,4
5ME0655,Student655,EEE,4
5ME0656,Student656,EEE,3
7ECE0657,Student657,CE,6
3CE0658,Student658,ME,8
8ME0659,Student659,ECE,4
7CE0660,Student660,CSE,8
5CSE0661,Student661,ME,3
3ECE0662,Student662,CE,7
3IT0663,Student663,IT,3
1CE0664,Student664,CE,8
6IT0665,Student665,CSE,7
7ME0666,Student666,CSE,7
3CE0667,Student667,CE,8
7EEE0668,Student668,IT,4
1CE0669,Student669,CSE,8
3CE0670,Student670,CSE,8
6CE0671,Student671,ME,2
2CSE0672,Student672,IT,1
6ECE0673,Student673,ME,8
6CE0674,Student674,ECE,8
1ME0675,Student675,IT,2
5EEE0676,Student676,CE,6
3IT0677,Student677,ECE,8
4CE0678,Student678,CSE,8
1ME0679,Student679,IT,3
6CSE0680,Student680,CE,3
5IT0681,Student681,ME,4
4IT0682,Student682,ME,5
4IT0683,Student683,IT,6
7EEE0684,Student684,ME,7
4CE0685,Student685,EEE,4
3CE0686,Student686,ME,1
1CE0687,Student687,IT,8
1ECE0688,Student688,IT,4
1CE0689,Student689,ME,8
4EEE0690,Student690,EEE,6
6ECE0691,Student691,ME,1
4EEE0692,Student692,IT,8
5ME0693,Student693,CE,3
4ECE0694,Student694,CE,7
3CE0695,Student695,CE,3
8CE0696,Student696,ECE,1
8CE0697,Student697,EEE,8
1CE0698,Student698,IT,6
1ECE0699,Student699,ME,6
7CSE0700,Student700,ECE,1
8CE0701,Student701,CE,4
6IT0702,Student702,IT,4
6ECE0703,Student703,IT,8
6ECE0704,Student704,ME,3
5CSE0705,Student705,CE,1
1EEE0706,Student706,IT,1
7ECE0707,Student707,IT,4
3ECE0708,Student708,ECE,4
4IT0709,Student709,ECE,3
1ME0710,Student710,ME,1
3CSE0711,Student711,EEE,1
3ME0712,Student712,ME,2
8CSE0713,Student713,CSE,3
5IT0714,Student714,CSE,2
8ME0715,Student715,ECE,4
4CSE0716,Student716,IT,5
8CE0717,Student717,EEE,4
2ECE0718,Student718,CSE,8
5CSE0719,Student719,CE,5
3CE0720,Student720,EEE,7
6ECE0721,Student721,ECE,7
6ECE0722,Student722,CE,3
5IT0723,Student723,EEE,1
6EEE0724,Student724,CSE,8
6IT0725,Student725,EEE,2
6IT0726,Student726,IT,7
5CSE0727,Student727,CSE,7
1CE0728,Student728,CE,4
3CE0729,Student729,EEE,5
8CE0730,Student730,CE,2
1ME0731,Student731,ECE,1
2ECE0732,Student732,IT,7
3CSE0733,Student733,CSE,4
1IT0734,Student734,EEE,2
8EEE0735,Student735,CSE,2
1CSE0736,Student736,EEE,6
7CE0737,Student737,CSE,7
5CE0738,Student738,ME,8
4CSE0739,Student739,CE,8
3ME0740,Student740,CSE,4
6IT0741,Student741,IT,6
5EEE0742,Student742,ME,5
1EEE0743,Student743,CSE,4
2IT0744,Student744,CE,3
2CSE0745,Student745,ECE,4
1ME0746,Student746,ECE,5
4EEE0747,Student747,ME,7
4IT0748,Student748,EEE,7
5ME0749,Student749,EEE,7
8IT0750,Student750,IT,3
6EEE0751,Student751,CSE,5
2CSE0752,Student752,ECE,3
3CSE0753,Student753,ME,8
6ECE0754,Student754,CSE,8
7IT0755,Student755,CSE,7
8CSE0756,Student756,ECE,4
4EEE0757,Student757,CE,2
3ME0758,Student758,CSE,1
6ECE0759,Student759,CE,7
6ECE0760,Student760,CSE,8
1CSE0761,Student761,EEE,6
3IT0762,Student762,CSE,1
8ME0763,Student763,CE,8
1IT0764,Student764,ECE,7
5EEE0765,Student765,ECE,1
4ECE0766,Student766,ECE,3
3CE0767,Student767,IT,7
5CE0768,Student768,ECE,6
6CE0769,Student769,ECE,7
1CSE0770,Student770,IT,5
4EEE0771,Student771,ME,2
7ME0772,Student772,CE,7
7ME0773,Student773,CE,5
3ECE0774,Student774,CE,6
7EEE0775,Student775,ECE,5
6ECE0776,Student776,CSE,1
7IT0777,Student777,CE,6
3ME0778,Student778,CE,5
7ME0779,Student779,CE,1
5IT0780,Student780,ECE,5
3ME0781,Student781,EEE,7
2ME0782,Student782,CSE,2
6CSE0783,Student783,ME,4
6IT0784,Student784,ME,5
8ME0785,Student785,CE,8
1CSE0786,Student786,IT,6
5CE0787,Student787,EEE,4
6ME0788,Student788,EEE,6
4EEE0789,Student789,CSE,4
4IT0790,Student790,EEE,8
5ECE0791,Student791,ECE,1
3EEE0792,Student792,ME,2
1ECE0793,Student793,CSE,6
7CSE0794,Student794,ME,8
8IT0795,Student795,CSE,1
4CSE0796,Student796,EEE,6
4ME0797,Student797,CE,3
5ME0798,Student798,CSE,6
2ME0799,Student799,CE,3
1CE0800,Student800,CE,3
3IT0801,Student801,IT,3
4ECE0802,Student802,CE,6
2CSE0803,Student803,CSE,6
2ECE0804,Student804,ME,2
5CE0805,Student805,ME,8
6EEE0806,Student806,ECE,4
6CE0807,Student807,ME,8
2IT0808,Student808,CSE,4
6ECE0809,Student809,CSE,1
1ME0810,Student810,CE,7
6ECE0811,Student811,IT,2
1EEE0812,Student812,CSE,3
7CE0813,Student813,CE,4
1ME0814,Student814,EEE,6
1EEE0815,Student815,ECE,8
3IT0816,Student816,IT,7
1ECE0817,Student817,CSE,7
7CSE0818,Student818,IT,4
5ECE0819,Student819,CE,2
8IT0820,Student820,EEE,1
4EEE0821,Student821,ECE,7
1EEE0822,Student822,CSE,1
1CE0823,Student823,CE,3
5ECE0824,Student824,CE,7
5ME0825,Student825,ME,2
4ME0826,Student826,IT,6
8CSE0827,Student827,CSE,5
3ME0828,Student828,ME,2
6ME0829,Student829,CSE,5
1ME0830,Student830,CE,5
1ECE0831,Student831,CSE,5
1EEE0832,Student832,IT,6
6CE0833,Student833,CE,5
7CSE0834,Student834,CSE,3
4EEE0835,Student835,ME,4
2IT0836,Student836,IT,1
4IT0837,Student837,IT,4
4IT0838,Student838,CSE,3
5IT0839,Student839,ME,2
8EEE0840,Student840,EEE,1
8CE0841,Student841,EEE,3
6EEE0842,Student842,IT,5
2ECE0843,Student843,ECE,2
4ECE0844,Student844,ECE,3
7EEE0845,Student845,IT,4
4EEE0846,Student846,CE,6
5CE0847,Student847,CE,5
8CSE0848,Student848,ECE,2
3EEE0849,Student849,EEE,1
4ME0850,Student850,CE,7
5IT0851,Student851,ECE,8
2CE0852,Student852,IT,8
3CSE0853,Student853,EEE,4
2CE0854,Student854,ME,6
5CE0855,Student855,CSE,6
4IT0856,Student856,CSE,6
6ECE0857,Student857,CSE,5
6CE0858,Student858,CE,6
8CSE0859,Student859,ECE,1
7ECE0860,Student860,CSE,2
2ECE0861,Student861,IT,6
2EEE0862,Student862,ECE,6
3CE0863,Student863,EEE,4
5IT0864,Student864,ME,3
6IT0865,Student865,CSE,5
2CE0866,Student866,CSE,7
4CE0867,Student867,CE,1
4CE0868,Student868,IT,7
2EEE0869,Student869,CE,3
4CE0870,Student870,ECE,8
7CSE0871,Student871,EEE,6
4IT0872,Student872,ECE,2
8ME0873,Student873,CE,2
5EEE0874,Student874,ECE,3
7CSE0875,Student875,EEE,2
